Date,Price,Open,High,Low,Vol.,Change %
"Aug 08, 2021",3264.69,3158.30,3328.38,2899.24,7.31M,3.38%
"Aug 01, 2021",3158.00,2530.94,3169.74,2445.49,7.30M,24.71%
"Jul 25, 2021",2532.19,2166.98,2551.68,2108.74,7.54M,17.67%
"Jul 18, 2021",2151.85,1898.01,2162.29,1720.70,7.25M,13.38%
"Jul 11, 2021",1897.98,2110.90,2173.34,1851.97,4.92M,-10.10%
"Jul 04, 2021",2111.12,2224.70,2402.68,2066.09,9.93M,-5.11%
"Jun 27, 2021",2224.70,1830.42,2281.55,1808.59,11.33M,21.53%
"Jun 20, 2021",1830.62,2166.30,2276.83,1707.24,13.62M,-15.52%
"Jun 13, 2021",2166.91,2368.68,2637.90,2142.74,9.96M,-8.51%
"Jun 06, 2021",2368.47,2628.43,2842.88,2260.80,9.63M,-9.91%
"May 30, 2021",2628.98,2276.97,2889.19,2181.93,16.66M,15.51%
"May 23, 2021",2276.07,2292.68,2908.37,1739.91,19.94M,-0.68%
"May 16, 2021",2291.60,3643.67,3877.20,1922.25,26.61M,-37.07%
"May 09, 2021",3641.65,3905.69,4366.10,3539.96,15.99M,-6.76%
"May 02, 2021",3905.55,2945.04,3952.88,2854.12,12.40M,32.63%
"Apr 25, 2021",2944.66,2217.23,2951.74,2169.91,10.71M,32.89%
"Apr 18, 2021",2215.93,2317.88,2642.99,1948.93,18.50M,-4.42%
"Apr 11, 2021",2318.33,2133.89,2544.54,2103.73,14.66M,8.65%
"Apr 04, 2021",2133.79,2007.82,2197.73,1939.64,14.71M,6.23%
"Mar 28, 2021",2008.59,1712.89,2144.11,1661.92,14.28M,17.26%
"Mar 21, 2021",1713.01,1804.60,1815.85,1546.48,11.16M,-5.08%
"Mar 14, 2021",1804.60,1921.29,1932.36,1715.97,9.62M,-6.07%
"Mar 07, 2021",1921.13,1650.94,1943.36,1634.73,10.86M,16.49%
"Feb 28, 2021",1649.19,1458.84,1670.01,1294.79,11.79M,13.04%
"Feb 21, 2021",1458.93,1912.97,1974.99,1370.45,15.77M,-23.77%
"Feb 14, 2021",1913.88,1815.44,2040.79,1661.09,10.99M,5.42%
"Feb 07, 2021",1815.49,1676.62,1871.36,1491.68,13.12M,8.28%
"Jan 31, 2021",1676.63,1377.05,1760.09,1272.09,14.22M,21.76%
"Jan 24, 2021",1376.96,1233.41,1474.68,1210.40,17.87M,11.64%
"Jan 17, 2021",1233.40,1228.33,1437.42,1045.02,17.28M,0.42%
"Jan 10, 2021",1228.27,1275.87,1347.98,917.96,19.35M,-3.71%
"Jan 03, 2021",1275.58,774.54,1301.75,769.57,24.32M,64.70%
