"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2021","3,267.27","3,886.77","3,979.00","3,029.27","4.65M","-15.90%"
"29/08/2021","3,885.00","3,244.64","4,025.06","3,145.69","4.48M","19.76%"
"22/08/2021","3,244.01","3,224.07","3,375.02","3,055.01","3.36M","0.62%"
"15/08/2021","3,223.91","3,264.56","3,334.22","2,951.04","217.79K","-1.25%"
"08/08/2021","3,264.69","3,158.30","3,328.38","2,899.24","209.06K","3.38%"
"01/08/2021","3,158.00","2,530.94","3,169.74","2,445.49","237.24K","24.88%"
"25/07/2021","2,528.85","2,176.17","2,552.09","2,108.72","267.84K","17.56%"
"18/07/2021","2,151.19","1,898.35","2,166.87","1,719.48","267.63K","13.26%"
"11/07/2021","1,899.28","2,110.69","2,172.80","1,849.44","231.59K","-10.01%"
"04/07/2021","2,110.48","2,325.37","2,396.83","2,049.32","395.81K","-5.07%"
"27/06/2021","2,223.15","1,830.73","2,242.80","1,826.90","648.81K","21.43%"
"20/06/2021","1,830.86","2,164.72","2,164.72","1,765.13","962.69K","-15.45%"
"13/06/2021","2,165.40","2,369.70","2,583.29","2,165.40","359.33K","-8.58%"
"06/06/2021","2,368.74","2,628.13","2,775.62","2,290.57","546.66K","-9.89%"
"30/05/2021","2,628.85","2,279.18","2,829.02","2,279.18","1.08M","15.39%"
"23/05/2021","2,278.15","2,294.41","2,846.07","2,014.34","3.24M","-0.66%"
"16/05/2021","2,293.37","3,645.65","3,831.95","2,293.37","3.23M","-37.08%"
"09/05/2021","3,645.15","3,907.53","4,352.11","3,645.15","843.92K","-6.71%"
"02/05/2021","3,907.53","2,944.09","3,907.53","2,912.03","631.15K","32.72%"
"25/04/2021","2,944.09","2,215.03","2,944.09","2,215.03","717.14K","33.09%"
"18/04/2021","2,212.13","2,316.56","2,583.38","2,124.61","1.78M","-4.48%"
"11/04/2021","2,315.96","2,126.89","2,464.58","2,126.89","594.40K","8.96%"
"04/04/2021","2,125.43","2,007.82","2,169.46","1,996.20","135.71K","5.85%"
"28/03/2021","2,007.98","1,711.85","2,118.75","1,703.03","143.26K","17.30%"
"21/03/2021","1,711.84","1,805.54","1,805.54","1,558.99","148.65K","-5.17%"
"14/03/2021","1,805.25","1,922.48","1,922.48","1,725.16","173.63K","-6.08%"
"07/03/2021","1,922.10","1,652.04","1,922.10","1,652.04","265.63K","16.55%"
"28/02/2021","1,649.23","1,457.94","1,649.23","1,353.89","383.93K","13.10%"
"21/02/2021","1,458.20","1,915.74","1,956.64","1,444.13","458.06K","-23.88%"
"14/02/2021","1,915.74","1,815.05","2,012.66","1,765.68","91.13K","5.57%"
"07/02/2021","1,814.61","1,677.70","1,849.83","1,575.94","170.92K","8.20%"
"31/01/2021","1,677.06","1,375.97","1,735.11","1,315.52","219.85K","21.88%"
"24/01/2021","1,375.95","1,233.22","1,415.69","1,233.22","416.83K","11.57%"
"17/01/2021","1,233.22","1,228.50","1,389.97","1,110.07","770.39K","0.38%"
"10/01/2021","1,228.51","1,333.96","1,339.14","984.99","908.71K","2.19%"
"03/01/2021","1,202.23","774.56","1,202.23","774.56","487.22K","55.22%"
"27/12/2020","774.55","636.67","779.01","636.67","1.05M","21.70%"
"20/12/2020","636.44","658.28","658.28","575.67","987.64K","-3.32%"
"13/12/2020","658.28","568.00","665.40","565.22","1.54M","15.92%"
"06/12/2020","567.90","596.44","603.27","541.28","1.65M","-4.79%"
"29/11/2020","596.44","536.19","617.68","536.19","1.50M","10.92%"
"22/11/2020","537.74","552.59","617.89","501.45","1.97M","-2.63%"
"15/11/2020","552.23","461.19","552.23","443.72","2.24M","19.62%"
"08/11/2020","461.67","435.05","463.25","435.05","1.57M","6.12%"
"01/11/2020","435.05","386.36","462.24","380.83","2.45M","12.56%"
"25/10/2020","386.52","412.16","412.16","382.74","2.22M","-6.22%"
"18/10/2020","412.17","368.40","416.94","368.40","2.48M","11.85%"
"11/10/2020","368.51","370.68","385.07","365.71","2.29M","-0.58%"
"04/10/2020","370.68","345.90","373.49","337.42","1.77M","7.16%"
"27/09/2020","345.90","353.95","367.63","339.15","2.16M","-2.28%"
"20/09/2020","353.96","385.15","385.15","324.67","2.17M","-8.10%"
"13/09/2020","385.17","387.84","392.60","359.88","2.98M","-0.73%"
"06/09/2020","388.01","335.18","388.01","327.61","3.34M","15.79%"
"30/08/2020","335.11","399.00","472.18","335.11","3.57M","-16.01%"
"23/08/2020","399.00","395.28","406.30","381.42","2.47M","0.94%"
"16/08/2020","395.30","432.21","432.21","386.55","2.41M","-8.51%"
"09/08/2020","432.09","396.61","442.44","374.26","2.97M","8.90%"
"02/08/2020","396.78","387.05","400.83","360.24","3.61M","2.53%"
"26/07/2020","386.99","305.16","386.99","300.83","3.61M","26.81%"
"19/07/2020","305.18","235.72","305.18","233.85","2.39M","29.47%"
"12/07/2020","235.72","239.15","244.79","230.50","1.30M","-1.43%"
"05/07/2020","239.13","229.10","247.14","223.83","1.67M","4.38%"
"28/06/2020","229.10","220.98","232.13","218.05","1.44M","3.67%"
"21/06/2020","220.98","228.80","249.05","216.65","1.90M","-3.42%"
"14/06/2020","228.80","238.12","238.49","218.74","1.79M","-3.91%"
